I saw a dog. | 我看见一只狗。
Political views differ. | 政治观点各异。
A poor family. | 贫穷的家庭。
Anything is possible. | 一切皆有可能。
All are present today. | 今天全都到了。
A private room. | 私人房间。
A probable cause. | 很可能的原因。
A quick answer. | 快速回答。
A quiet room. | 安静的房间。
Are you ready? | 你准备好了吗?
A red apple. | 红苹果。
Regular exercise helps. | 规律锻炼有助健康。
You are responsible. | 你要负责。
You are right. | 你对了。
A round table. | 一张圆桌。
We have the same idea. | 我们想法一样。
On the second day. | 第二天。
Keep them separate. | 把它们分开。
A serious problem. | 严重的问题。
A sharp knife. | 锋利的刀。
Smooth as silk. | 丝一般光滑。
Sticky fingers. | 粘乎乎的手指。
A stiff neck. | 脖子僵硬。
Walk in a straight line. | 走直线。
A strong man. | 一个强壮的人。
A sudden change. | 突然的变化。
This cake is sweet. | 这蛋糕很甜。
A tall man. | 一个高个子男人。
A thick book. | 一本厚书。
A tight grip. | 紧紧抓住。
I'm tired today. | 我今天很累。
It's a true story. | 这是个真实的故事。
A violent storm. | 狂风暴雨。
The waiting room. | 候诊室。
Warm weather. | 暖和的天气。
My clothes are wet. | 我衣服湿了。
A wide river. | 宽阔的河流。
A wise old man. | 睿智的老人。
A yellow flower. | 一朵黄花。
A young boy. | 一个小男孩。
I'm wide awake. | 我完全醒着。
Bad weather. | 坏天气。
A bent nail. | 弯了的钉子。
Bitter coffee. | 苦咖啡。
A blue dress. | 一条蓝裙子。
I am certain. | 我很确定。
Cold water. | 冷水。
A complete set. | 一整套。
A cruel act. | 残忍的行为。
A dark night. | 漆黑的夜。
The flowers are dead. | 花死了。
My dear friend. | 我亲爱的朋友。
Delicate glass. | 易碎的玻璃。
A different idea. | 不同的想法。
Dirty hands. | 脏手。
Dry clothes. | 干衣服。
A false statement. | 虚假声明。
A feeble old man. | 虚弱的老人。
A female doctor. | 女医生。
A foolish mistake. | 愚蠢的错误。
Future plans. | 未来的计划。
Green leaves. | 绿叶。
He is ill in bed. | 他病了卧床。
The last day. | 最后一天。
Sorry I'm late. | 抱歉我迟到了。
Turn left. | 左转。
Loose clothes. | 宽松的衣服。
Loud music. | 大声的音乐。
A low ceiling. | 矮天花板。
Mixed feelings. | 心情复杂。
A narrow road. | 狭窄的路。
My old grandfather. | 我的老爷爷。
The opposite direction. | 相反方向。
A public park. | 公园。
Rough hands. | 粗糙的手。
A sad story. | 悲伤的故事。
Stay safe. | 注意安全。
A secret garden. | 秘密花园。
A short walk. | 短暂的散步。
The door is shut. | 门关着。
A simple answer. | 简单的答案。
A slow turtle. | 慢吞吞的乌龟。
A small house. | 小房子。
A soft pillow. | 软枕头。
Solid rock. | 坚硬的岩石。
A special day. | 特别的日子。
A strange noise. | 奇怪的声音。
A thin slice. | 薄薄一片。
White clouds. | 白云。
A wrong answer. | 错误答案。
